Date,Country,Channel,Campaign_ID,Campaign_Name,Sessions,Users
2024-01-01,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,11627,10624
2024-01-01,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,2066,1874
2024-01-01,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1479,1315
2024-01-01,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1549,1221
2024-01-01,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,750,583
2024-01-01,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,199,182
2024-01-01,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2514,1916
2024-01-01,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,997,840
2024-01-01,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,746,598
2024-01-02,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,4825,4527
2024-01-02,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,4415,4150
2024-01-02,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1399,1055
2024-01-02,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,3137,2832
2024-01-02,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,603,472
2024-01-02,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,135,103
2024-01-02,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2003,1792
2024-01-02,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,1036,810
2024-01-02,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,366,304
2024-01-03,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,6131,4623
2024-01-03,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,4068,3258
2024-01-03,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1838,1541
2024-01-03,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1582,1502
2024-01-03,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,288,228
2024-01-03,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,276,233
2024-01-03,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,5036,3886
2024-01-03,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,753,687
2024-01-03,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,795,735
2024-01-04,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,12867,10143
2024-01-04,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,5733,5172
2024-01-04,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1642,1234
2024-01-04,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1426,1124
2024-01-04,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,282,236
2024-01-04,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,225,189
2024-01-04,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,5423,4675
2024-01-04,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,754,637
2024-01-04,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,697,611
2024-01-05,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,12916,11584
2024-01-05,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,6269,5345
2024-01-05,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,2296,1727
2024-01-05,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1987,1702
2024-01-05,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,632,531
2024-01-05,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,244,231
2024-01-05,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2174,1954
2024-01-05,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,1079,860
2024-01-05,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,612,522
2024-01-06,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,8407,7797
2024-01-06,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,3277,2588
2024-01-06,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,2017,1756
2024-01-06,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1145,1029
2024-01-06,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,583,553
2024-01-06,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,190,163
2024-01-06,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2266,2018
2024-01-06,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,663,571
2024-01-06,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,226,208
2024-01-07,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,11987,9484
2024-01-07,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,2613,2392
2024-01-07,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR ,1758,1660
2024-01-07,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,906,772
2024-01-07,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,596,485
2024-01-07,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,196,155
2024-01-07,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,3911,3264
2024-01-07,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,840,763
2024-01-07,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,410,362
2024-01-08,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,21254,18814
2024-01-08,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,5060,4215
2024-01-08,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,2246,1851
2024-01-08,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1714,1326
2024-01-08,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,638,560
2024-01-08,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,352,268
2024-01-08,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,3655,3045
2024-01-08,Spain,GoogleAds,CAMP-ES-GGL-004,Seasonal Search ES,793,679
2024-01-08,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,469,406
2024-01-09,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,5182,4894
2024-01-09,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,5927,5199
2024-01-09,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1112,1038
2024-01-09,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,2805,2587
2024-01-09,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,699,661
2024-01-09,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,555,493
2024-01-09,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2611,2143
2024-01-09,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,777,685
2024-01-09,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,590,489
2024-01-10,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,24659,18904
2024-01-10,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,2043,1659
2024-01-10,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1751,1417
2024-01-10,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1560,1316
2024-01-10,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,294,273
2024-01-10,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,382,357
2024-01-10,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,1660,1535
2024-01-10,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,886,824
2024-01-10,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,711,602
2024-01-11,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,7138,5906
2024-01-11,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,3157,2984
2024-01-11,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,2228,1834
2024-01-11,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,1599,1383
2024-01-11,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,278,234
2024-01-11,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,179,151
2024-01-11,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,1968,1868
2024-01-11,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES ,432,348
2024-01-11,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,1769,1611
2024-01-12,France,Email Marketing,CAMP-FR-EML-003,flash sale fr,23011,19334
2024-01-12,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,4973,3817
2024-01-12,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,3146,2876
2024-01-12,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,816,645
2024-01-12,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,226,188
2024-01-12,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,430,386
2024-01-12,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,2395,2217
2024-01-12,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,629,577
2024-01-12,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,345,279
